County,State,Population_2018,Population_Density_Per_Square_Mile,Unemployment_rate_2018,Median_Household_Income_2018,Total_Male,Total_Female,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,ICU_Beds,Aggregate_Transit_Score,cases,deaths
Kenai Peninsula Borough,AK,58533,3.4,7.7,65439,30488,28045,13227,6814,6413,35118,18391,16727,10188,5283,4905,690,273,417,6,0,1304,26
Ketchikan Gateway Borough,AK,13918,2.8,6,68309,7102,6816,3102,1558,1544,8654,4453,4201,2162,1091,1071,208,86,122,4,4531349513,1063,0
Kodiak Island Borough,AK,13345,2.1,5.8,74109,7096,6249,3417,1776,1641,8549,4654,3895,1379,666,713,91,26,65,0,0,46,0
Kusilvak Census Area,AK,8303,,19.9,32728,4374,3929,3391,1778,1613,4416,2376,2040,496,220,276,47,14,33,0,0,,
Lake and Peninsula Borough,AK,1587,0.1,11.6,49403,813,774,453,221,232,972,506,466,162,86,76,13,5,8,0,0,,
Matanuska-Susitna Borough,AK,107610,3.6,7.6,74649,55867,51743,28860,14903,13957,65936,34550,31386,12814,6414,6400,862,372,490,14,530862169,1112,48
Nome Census Area,AK,10008,0.4,11.6,55318,5267,4741,3467,1768,1699,5767,3081,2686,774,418,356,43,18,25,0,0,66,0
North Slope Borough,AK,9872,0.1,7,89276,6145,3727,2613,1350,1263,6586,4421,2165,673,374,299,48,16,32,0,0,4,0
Northwest Arctic Borough,AK,7671,0.2,14.2,59337,4141,3530,2706,1430,1276,4404,2441,1963,561,270,291,66,18,48,0,0,21,0
Petersburg Borough,AK,3221,1.2,8.7,66075,1700,1521,670,333,337,1936,1035,901,615,332,283,49,18,31,0,0,133,0
Prince of Wales-Hyder Census Area,AK,6422,1.4,10.9,49356,3517,2905,1471,806,665,3855,2092,1763,1096,619,477,55,25,30,0,3091632,99,0
Sitka City and Borough,AK,8647,3.1,4.2,71825,4400,4247,1854,953,901,5432,2810,2622,1361,637,724,149,53,96,0,22,42,0
Skagway Municipality,AK,1148,2.1,9.8,74635,597,551,182,97,85,799,414,385,167,86,81,9,5,4,0,0,,
Southeast Fairbanks Census Area,AK,6918,0.3,9.6,63527,3815,3103,1753,891,862,4160,2367,1793,1005,557,448,53,21,32,0,0,103,0
Valdez-Cordova Census Area,AK,9164,0.3,7.4,68528,4803,4361,2146,1059,1087,5762,3073,2689,1256,671,585,66,19,47,0,0,34,0
Wrangell City and Borough,AK,2503,0.9,7,57832,1296,1207,501,243,258,1454,761,693,548,292,256,41,12,29,0,0,,
Yakutat City and Borough,AK,604,0.1,8.2,59523,335,269,112,52,60,374,214,160,118,69,49,13,3,10,0,0,,
Yukon-Koyukuk Census Area,AK,5327,0,15.3,38912,2822,2505,1454,740,714,3063,1620,1443,810,462,348,68,38,30,0,0,60,0
Apache,AZ,71818,6.4,10.1,33652,35310,36508,19518,9628,9890,41314,20664,20650,10986,5018,5968,1155,443,712,0,385791953,33942,640
Cochise,AZ,126770,21.3,5.6,49164,64380,62390,27312,13801,13511,71132,37017,34115,28326,13562,14764,2969,1308,1661,12,1078664282,2168,31
Coconino,AZ,142854,7.2,5.5,60187,70580,72274,29454,15189,14265,95545,46876,48669,17855,8515,9340,1634,653,981,41,2970953364,34745,2685
Gila,AZ,53889,11.3,5.9,43585,26644,27245,10827,5538,5289,27556,13606,13950,15506,7500,8006,1590,657,933,8,0,837,30
Graham,AZ,38072,8.1,5.1,50157,20283,17789,10287,5262,5025,22475,12588,9887,5310,2433,2877,625,249,376,0,0,798,8
Greenlee,AZ,9483,4.6,4.3,65818,4871,4612,2590,1305,1285,5645,2989,2656,1248,577,671,191,58,133,0,0,133,0
La Paz,AZ,21098,4.6,6.2,37350,10820,10278,3540,1869,1671,9271,4628,4643,8287,4323,3964,1006,555,451,3,48823807,1267,81
Maricopa,AZ,4410824,414.9,4.1,65234,2181718,2229106,1052788,537457,515331,2688751,1342660,1346091,669285,301601,367684,78624,30897,47727,1004,4656540496,286912,11463
