County,State,Population_2018,Population_Density_Per_Square_Mile,Unemployment_rate_2018,Median_Household_Income_2018,Total_Male,Total_Female,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,ICU_Beds,Aggregate_Transit_Score
Cullman,AL,83442,109.4,3.3,45796.0,41245.0,42197.0,18757.0,9554.0,9203.0,49239.0,24781.0,24458.0,15446.0,6910.0,8536.0,1450.0,530.0,920.0,12.0,0.0
Dale,AL,48956,89.6,4.2,45309.0,24023.0,24933.0,11247.0,5750.0,5497.0,29439.0,14592.0,14847.0,8270.0,3681.0,4589.0,898.0,338.0,560.0,6.0,0.0
Dallas,AL,38310,44.8,6.5,34035.0,17685.0,20625.0,9121.0,4625.0,4496.0,22268.0,10128.0,12140.0,6921.0,2932.0,3989.0,701.0,193.0,508.0,18.0,148691594.0
DeKalb,AL,71385,91.5,3.8,39491.0,35428.0,35957.0,17188.0,8834.0,8354.0,41875.0,21065.0,20810.0,12322.0,5529.0,6793.0,1207.0,398.0,809.0,12.0,0.0
Elmore,AL,81887,128.2,3.4,60367.0,39585.0,42302.0,18211.0,9284.0,8927.0,51276.0,24709.0,26567.0,12400.0,5592.0,6808.0,1164.0,361.0,803.0,5.0,0.0
Escambia,AL,36748,40.5,4.6,38418.0,18628.0,18120.0,8219.0,4112.0,4107.0,21933.0,11733.0,10200.0,6596.0,2783.0,3813.0,683.0,218.0,465.0,14.0,0.0
Etowah,AL,102501,195.2,4.1,44903.0,49653.0,52848.0,21997.0,11284.0,10713.0,61017.0,29882.0,31135.0,19487.0,8487.0,11000.0,1983.0,636.0,1347.0,56.0,766048495.0
Fayette,AL,16433,27.5,4.1,39254.0,8023.0,8410.0,3472.0,1776.0,1696.0,9489.0,4727.0,4762.0,3472.0,1520.0,1952.0,340.0,116.0,224.0,12.0,0.0
Franklin,AL,31363,50.0,3.7,39388.0,15823.0,15540.0,7695.0,3941.0,3754.0,18372.0,9531.0,8841.0,5296.0,2351.0,2945.0,565.0,209.0,356.0,7.0,0.0
Geneva,AL,26314,46.6,3.9,37823.0,12846.0,13468.0,5768.0,2950.0,2818.0,15205.0,7513.0,7692.0,5341.0,2383.0,2958.0,578.0,200.0,378.0,6.0,0.0
Greene,AL,8233,14.0,6.7,28524.0,3887.0,4346.0,1825.0,928.0,897.0,4571.0,2175.0,2396.0,1837.0,784.0,1053.0,241.0,75.0,166.0,0.0,0.0
Hale,AL,14726,24.5,5.1,34724.0,7008.0,7718.0,3394.0,1779.0,1615.0,8503.0,3981.0,4522.0,2829.0,1248.0,1581.0,350.0,106.0,244.0,0.0,0.0
Henry,AL,17209,30.8,4.4,46027.0,8300.0,8909.0,3547.0,1827.0,1720.0,9752.0,4762.0,4990.0,3910.0,1711.0,2199.0,423.0,113.0,310.0,0.0,0.0
Houston,AL,104722,175.1,4.0,47993.0,50286.0,54436.0,24120.0,12513.0,11607.0,61963.0,29717.0,32246.0,18639.0,8056.0,10583.0,2037.0,685.0,1352.0,66.0,0.0
Jackson,AL,51736,49.4,4.1,41929.0,25390.0,26346.0,10806.0,5654.0,5152.0,30557.0,15121.0,15436.0,10373.0,4615.0,5758.0,957.0,319.0,638.0,10.0,0.0
Jefferson,AL,659300,592.5,3.7,55013.0,311591.0,347709.0,150071.0,76250.0,73821.0,404682.0,191924.0,212758.0,104547.0,43417.0,61130.0,13443.0,4158.0,9285.0,471.0,102505817.0
Lamar,AL,13844,24.1,3.8,40936.0,6767.0,7077.0,2961.0,1515.0,1446.0,7885.0,3913.0,3972.0,2998.0,1339.0,1659.0,326.0,101.0,225.0,0.0,0.0
Lauderdale,AL,92387,138.8,4.2,48707.0,44327.0,48060.0,18168.0,9232.0,8936.0,55656.0,27073.0,28583.0,18563.0,8022.0,10541.0,2095.0,694.0,1401.0,48.0,0.0
Lawrence,AL,32957,49.7,4.2,43909.0,16047.0,16910.0,7115.0,3637.0,3478.0,19691.0,9664.0,10027.0,6151.0,2746.0,3405.0,558.0,187.0,371.0,6.0,0.0
Lee,AL,163941,230.8,3.6,48937.0,80639.0,83302.0,34893.0,17839.0,17054.0,109567.0,54067.0,55500.0,19481.0,8733.0,10748.0,1801.0,623.0,1178.0,28.0,0.0
Limestone,AL,96174,147.8,3.5,64863.0,48156.0,48018.0,21696.0,10961.0,10735.0,59870.0,30627.0,29243.0,14608.0,6568.0,8040.0,1391.0,442.0,949.0,10.0,0.0
Lowndes,AL,9974,15.8,7.3,33973.0,4670.0,5304.0,2256.0,1120.0,1136.0,5838.0,2760.0,3078.0,1880.0,790.0,1090.0,215.0,61.0,154.0,0.0,0.0
Macon,AL,18439,35.2,5.5,32495.0,8383.0,10056.0,3118.0,1572.0,1546.0,11565.0,5239.0,6326.0,3756.0,1572.0,2184.0,425.0,129.0,296.0,0.0,0.0
Madison,AL,366519,417.7,3.5,63755.0,179074.0,187445.0,79966.0,40842.0,39124.0,231428.0,114090.0,117338.0,55125.0,24142.0,30983.0,6223.0,2299.0,3924.0,100.0,1318243629.0
Marengo,AL,19066,21.5,5.0,37733.0,8933.0,10133.0,4335.0,2143.0,2192.0,10994.0,5175.0,5819.0,3737.0,1615.0,2122.0,510.0,161.0,349.0,5.0,0.0
Marion,AL,29763,41.5,4.1,37887.0,14686.0,15077.0,6183.0,3216.0,2967.0,17259.0,8689.0,8570.0,6321.0,2781.0,3540.0,701.0,230.0,471.0,4.0,0.0
Marshall,AL,96109,164.4,3.4,46233.0,47502.0,48607.0,23936.0,12310.0,11626.0,55798.0,28113.0,27685.0,16375.0,7079.0,9296.0,1679.0,551.0,1128.0,20.0,0.0
Mobile,AL,413757,335.9,4.7,43598.0,197077.0,216680.0,96711.0,48979.0,47732.0,250005.0,119243.0,130762.0,67041.0,28855.0,38186.0,7238.0,2389.0,4849.0,157.0,2366533017.0
Monroe,AL,21067,22.5,6.2,39556.0,10005.0,11062.0,4543.0,2315.0,2228.0,12249.0,5829.0,6420.0,4275.0,1861.0,2414.0,567.0,179.0,388.0,8.0,0.0
Montgomery,AL,225763,292.5,4.0,49640.0,106522.0,119241.0,52774.0,26729.0,26045.0,138816.0,65532.0,73284.0,34173.0,14261.0,19912.0,4012.0,1359.0,2653.0,88.0,2254941713.0
Morgan,AL,119089,206.3,3.5,52797.0,58682.0,60407.0,27168.0,13926.0,13242.0,71118.0,35657.0,35461.0,20803.0,9099.0,11704.0,2190.0,762.0,1428.0,34.0,0.0
Perry,AL,9140,14.7,6.5,26814.0,4281.0,4859.0,1942.0,1005.0,937.0,5424.0,2561.0,2863.0,1774.0,715.0,1059.0,235.0,67.0,168.0,0.0,0.0
Pickens,AL,19938,22.4,4.6,37586.0,9948.0,9990.0,3921.0,2058.0,1863.0,12224.0,6167.0,6057.0,3793.0,1723.0,2070.0,430.0,159.0,271.0,4.0,0.0
Pike,AL,33338,48.9,4.5,37259.0,16098.0,17240.0,6328.0,3284.0,3044.0,22023.0,10603.0,11420.0,4987.0,2211.0,2776.0,565.0,173.0,392.0,9.0,0.0
Randolph,AL,22725,39.5,4.0,40546.0,11056.0,11669.0,4874.0,2499.0,2375.0,13226.0,6474.0,6752.0,4625.0,2083.0,2542.0,491.0,152.0,339.0,0.0,0.0
