,County,State,Mean Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count
269,Grafton,NH,63153.0,89811.0,42.9,36619.0,8250.0,1624.0
270,Rockingham,NH,90429.0,305129.0,44.3,45242.0,14207.0,6706.0
271,Belknap,NH,68368.0,60640.0,47.1,35382.0,5169.0,1511.0
272,Sullivan,NH,60780.0,43125.0,46.1,31668.0,4569.0,826.0
273,Hillsborough,NH,78655.0,411087.0,40.5,39478.0,32560.0,10214.0
274,Strafford,NH,70650.0,128237.0,36.9,34161.0,11869.0,2983.0
275,Coos,NH,45696.0,32038.0,48.1,26535.0,3774.0,869.0
276,Carroll,NH,61116.0,47840.0,51.7,36033.0,4532.0,893.0
277,Monmouth,NJ,95699.0,623387.0,43.2,48959.0,45873.0,17324.0
278,Sussex,NJ,90520.0,142298.0,44.5,42639.0,7191.0,4598.0
279,Cumberland,NJ,52593.0,153400.0,37.2,23946.0,24830.0,4928.0
280,Essex,NJ,59302.0,793555.0,37.5,37141.0,127250.0,37731.0
281,Ocean,NJ,68021.0,591939.0,42.9,34784.0,62837.0,16052.0
282,Gloucester,NJ,85160.0,290852.0,40.3,37888.0,21275.0,9912.0
283,Salem,NJ,64309.0,63336.0,42.0,32526.0,8067.0,2324.0
284,Passaic,NJ,66476.0,504041.0,37.0,30800.0,82823.0,12613.0
285,Camden,NJ,67118.0,507367.0,38.7,34280.0,62871.0,18876.0
286,Bergen,NJ,95837.0,929999.0,41.8,48426.0,64674.0,22404.0
287,Warren,NJ,78145.0,106293.0,44.0,38132.0,8147.0,3700.0
288,Hudson,NJ,66289.0,668631.0,35.1,38147.0,107718.0,22703.0
289,Burlington,NJ,84992.0,446367.0,41.5,41517.0,28151.0,14969.0
290,Morris,NJ,111316.0,494383.0,42.6,55826.0,22607.0,12939.0
291,Rio Arriba,NM,,39307.0,40.6,,,
292,San Miguel,NM,31660.0,28034.0,43.2,20285.0,7319.0,661.0
293,Torrance,NM,37218.0,15595.0,43.6,20072.0,3870.0,316.0
294,Otero,NM,42752.0,65745.0,35.6,22477.0,13232.0,2080.0
295,Cibola,NM,37368.0,26978.0,36.8,18514.0,6758.0,1736.0
296,Guadalupe,NM,24085.0,4382.0,42.6,17930.0,538.0,88.0
297,Catron,NM,42480.0,3539.0,59.1,20767.0,810.0,0.0
298,Grant,NM,37880.0,28061.0,45.8,24913.0,5970.0,859.0
299,Luna,NM,27377.0,24264.0,37.8,16496.0,7206.0,1045.0
300,McKinley,NM,31674.0,72849.0,32.0,15278.0,25986.0,4411.0
301,Taos,NM,36758.0,32888.0,48.2,23642.0,6346.0,1257.0
302,Colfax,NM,33783.0,12353.0,49.0,22293.0,2797.0,486.0
303,Eddy,NM,62982.0,57437.0,35.3,28957.0,8663.0,1230.0
304,Mora,NM,26968.0,4563.0,49.2,17689.0,881.0,111.0
305,Quay,NM,27075.0,8373.0,43.8,18637.0,1828.0,186.0
306,Lincoln,NM,42267.0,19482.0,51.0,26534.0,3134.0,312.0
307,Lea,NM,59797.0,70126.0,31.7,24879.0,11203.0,1971.0
308,Santa Fe,NM,59192.0,148917.0,45.8,37080.0,18675.0,3303.0
309,Sierra,NM,30451.0,11135.0,56.0,25389.0,2690.0,444.0
310,Socorro,NM,36146.0,17000.0,39.2,17464.0,4796.0,278.0
311,Do�a Ana,NM,39164.0,215338.0,32.9,21300.0,58023.0,8052.0
312,Schoharie,NY,53989.0,31364.0,45.1,28712.0,3945.0,892.0
313,Onondaga,NY,59225.0,464242.0,39.0,32678.0,65143.0,14018.0
314,Clinton,NY,55178.0,80794.0,39.3,26772.0,11182.0,1809.0
315,Seneca,NY,54695.0,34612.0,42.2,27366.0,3924.0,565.0
316,Putnam,NY,102186.0,99070.0,44.1,45905.0,5191.0,2866.0
317,Franklin,NY,51696.0,50692.0,40.6,25491.0,8195.0,1539.0
318,Ontario,NY,63359.0,109472.0,43.5,35121.0,10203.0,2320.0
319,Queens,NY,64987.0,2298513.0,38.7,30289.0,295165.0,74382.0
320,Steuben,NY,51789.0,96927.0,42.6,28600.0,13308.0,2992.0
321,Hamilton,NY,57552.0,4575.0,54.0,25918.0,315.0,170.0
322,Washington,NY,54114.0,61828.0,44.0,27156.0,7055.0,1729.0
323,Chautauqua,NY,45332.0,129656.0,42.5,24825.0,23241.0,4126.0
324,Kings,NY,56015.0,2600747.0,35.1,31984.0,544622.0,91531.0
325,New York,NY,82459.0,1632480.0,37.3,72832.0,263413.0,54298.0
326,Tioga,NY,60736.0,49045.0,44.0,31330.0,5091.0,1557.0
327,Cayuga,NY,56579.0,77868.0,42.7,29022.0,8563.0,2084.0
328,Orleans,NY,51843.0,41175.0,43.2,25261.0,5499.0,999.0
329,Saratoga,NY,80839.0,227377.0,42.6,41709.0,13797.0,4749.0
330,Rockland,NY,91108.0,323686.0,36.1,38076.0,45613.0,8599.0
331,Columbia,NY,63032.0,60919.0,47.8,35581.0,7039.0,1537.0
332,Lewis,NY,52380.0,26719.0,42.0,26169.0,3712.0,872.0
333,Niagara,NY,54085.0,211704.0,43.2,29824.0,27967.0,5636.0
334,Westchester,NY,92758.0,968815.0,40.8,54572.0,87214.0,29722.0
335,Delaware,NY,48827.0,45502.0,47.5,26629.0,7000.0,1097.0
336,Essex,NY,56196.0,37751.0,47.0,30273.0,3323.0,1072.0
337,Montgomery,NY,45837.0,49426.0,41.4,25427.0,9649.0,1801.0
338,Nassau,NY,111240.0,1356564.0,41.6,49211.0,76461.0,30530.0
339,Richmond,NY,79267.0,474101.0,40.0,34987.0,60026.0,10872.0
340,Schuyler,NY,51479.0,17992.0,46.2,26484.0,2444.0,492.0
341,Tompkins,NY,58743.0,102962.0,30.9,31464.0,17500.0,2438.0
342,Chenango,NY,50595.0,48348.0,44.7,26717.0,6796.0,1327.0
343,Cortland,NY,54489.0,48123.0,36.4,26979.0,6884.0,1113.0
344,Jefferson,NY,52268.0,114448.0,32.4,25884.0,15365.0,3093.0
345,Oneida,NY,53844.0,230782.0,41.2,28548.0,35271.0,5947.0
346,Suffolk,NY,96675.0,1487901.0,41.3,42204.0,103887.0,37012.0
347,Wyoming,NY,57914.0,40565.0,41.9,27150.0,4092.0,1157.0
348,Chemung,NY,53299.0,85740.0,41.3,28115.0,11996.0,1981.0
349,Oswego,NY,53597.0,119104.0,40.0,27217.0,20392.0,4548.0
350,Otsego,NY,53121.0,60244.0,42.0,27680.0,8467.0,1930.0
351,Wayne,NY,55765.0,90856.0,43.6,29028.0,10127.0,2733.0
352,Albany,NY,64535.0,307426.0,37.9,36454.0,34919.0,8123.0
353,Broome,NY,50859.0,194402.0,39.8,27744.0,31349.0,6157.0
354,Erie,NY,55673.0,919866.0,40.4,32347.0,129903.0,22583.0
355,Madison,NY,60228.0,71359.0,41.7,28925.0,6549.0,1655.0
356,Sullivan,NY,56256.0,75211.0,42.9,29292.0,10646.0,2757.0
357,Mitchell,NC,44186.0,15040.0,47.1,23907.0,2052.0,280.0
358,Genesee,NY,59338.0,58112.0,43.3,29465.0,6501.0,1468.0
359,Orange,NY,76716.0,378227.0,36.9,33472.0,43543.0,9057.0
360,Greene,NC,38306.0,21008.0,41.2,18339.0,4781.0,871.0
361,Chowan,NC,42621.0,14205.0,44.7,24084.0,2715.0,664.0
362,Caldwell,NC,42072.0,81779.0,44.1,22945.0,13405.0,2546.0
