County,State,cases,deaths
Bucks,PA,5082,503
Butler,PA,230,12
Cambria,PA,57,2
Cameron,PA,2,0
Carbon,PA,235,24
Centre,PA,153,7
Chester,PA,2769,281
Union,OR,6,0
Umatilla,OR,116,3
Tillamook,OR,6,0
Sherman,OR,1,0
Crook,OR,6,0
Curry,OR,7,0
Deschutes,OR,125,0
Douglas,OR,27,0
Grant,OR,1,0
Harney,OR,1,0
Hood River,OR,18,0
Jackson,OR,66,0
Jefferson,OR,33,0
Columbia,OR,16,0
Josephine,OR,23,1
Lake,OR,2,0
Lane,OR,73,3
Lincoln,OR,12,0
Linn,OR,115,9
Malheur,OR,32,0
Marion,OR,960,25
Morrow,OR,11,0
Multnomah,OR,1165,59
Polk,OR,98,12
Klamath,OR,44,0
Robeson,NC,824,22
Lewis,MO,7,1
Randolph,NC,664,13
Hamilton,NE,60,13
Hitchcock,NE,1,0
Holt,NE,1,0
Howard,NE,42,4
Jefferson,NE,6,0
Johnson,NE,6,0
Kearney,NE,11,0
Keith,NE,2,0
Kimball,NE,10,0
Knox,NE,9,0
Lancaster,NE,1212,9
Lincoln,NE,48,2
Madison,NE,316,4
Merrick,NE,33,0
Morrill,NE,11,0
Nance,NE,4,0
Nemaha,NE,3,0
Nuckolls,NE,1,0
Otoe,NE,7,0
Hall,NE,1507,42
Phelps,NE,20,0
Greeley,NE,2,0
Gage,NE,45,4
Cass,NE,50,0
Cedar,NE,8,0
Chase,NE,1,0
Cherry,NE,1,0
Cheyenne,NE,9,0
Clay,NE,24,0
Colfax,NE,617,4
Cuming,NE,31,0
Custer,NE,36,4
Dakota,NE,1669,25
Dawes,NE,1,0
Dawson,NE,838,7
Dixon,NE,27,0
Dodge,NE,465,1
Douglas,NE,4314,37
Fillmore,NE,6,0
Franklin,NE,6,0
Frontier,NE,1,0
Furnas,NE,9,0
Gosper,NE,13,0
Pierce,NE,6,0
Platte,NE,577,1
Polk,NE,11,0
Lander,NV,22,0
Lincoln,NV,2,0
Lyon,NV,62,1
Mineral,NV,4,0
Nye,NV,63,2
Pershing,NV,2,0
Storey,NV,1,0
Washoe,NV,1577,60
White Pine,NV,3,0
Belknap,NH,60,0
Carroll,NH,47,0
Cheshire,NH,57,2
Coos,NH,5,0
Grafton,NH,76,1
Hillsborough,NH,2464,139
Merrimack,NH,342,14
Rockingham,NH,1306,75
Strafford,NH,269,13
Sullivan,NH,19,1
Humboldt,NV,78,4
Elko,NV,24,1
Douglas,NV,31,0
Clark,NV,6657,348
Red Willow,NE,5,0
Richardson,NE,1,0
Saline,NE,497,2
Sarpy,NE,620,4
Saunders,NE,36,1
Scotts Bluff,NE,102,0
Seward,NE,28,1
Sherman,NE,4,0
Stanton,NE,20,0
Butler,NE,48,0
Thayer,NE,1,0
Thurston,NE,46,0
Unknown,NE,73,0
Valley,NE,4,0
Washington,NE,30,1
Wayne,NE,15,0
Webster,NE,5,0
York,NE,36,0
Carson City,NV,95,4
Churchill,NV,7,1
Thomas,NE,1,0
Burt,NE,9,0
Buffalo,NE,157,1
Box Butte,NE,2,0
Phelps,MO,4,0
Pike,MO,22,1
Platte,MO,70,2
Polk,MO,2,0
Pulaski,MO,36,1
Ralls,MO,5,0
Randolph,MO,10,0
Ray,MO,19,0
Reynolds,MO,2,0
Ripley,MO,7,0
Saline,MO,267,2
Schuyler,MO,1,0
Scotland,MO,5,0
Scott,MO,110,9
Shannon,MO,2,0
Shelby,MO,1,0
St. Charles,MO,780,59
St. Clair,MO,2,0
St. Francois,MO,35,2
Pettis,MO,77,1
Perry,MO,57,0
Pemiscot,MO,83,4
Osage,MO,5,0
McCormick,SC,9,1
Lincoln,MO,82,1
Linn,MO,9,1
Livingston,MO,3,0
Macon,MO,4,0
Madison,MO,3,0
Maries,MO,2,0
Marion,MO,5,0
McDonald,MO,20,0
St. Louis,MO,4802,443
Mercer,MO,1,0
Mississippi,MO,58,0
Moniteau,MO,47,1
Monroe,MO,2,0
Montgomery,MO,9,0
